Uso_solo_1,Uso_solo_2,Municipio_1,Municipio_2,Area_m2_1,Area_m2_2,Fid_1,Last_last,Cn_mancha_1,Cn_mancha_2,Altitude_mancha_1,Altitude_mancha_2,Dif_altitude,Comprimento,Dif_cn,Valoracao
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"50008,17","126833,37",10274,9755,52,70,386,"366,015748","19,98425197","199,4144448",-18,"-71732,67322"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"24748,39","42363,47",10273,9756,52,30,"373,5909091","363,5306122","10,06029685","413,0449494",22,"91417,80564"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"349871,4","42363,47",10286,9756,79,30,"349,4587459","363,5306122","14,07186637","186,4724163",-49,"-128576,7313"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","42363,47",10595,9756,82,30,"384,7726229","363,5306122","21,24201061","990,3418907",52,"1093916,353"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","301699,5",10595,9757,82,70,"384,7726229","401,2863436","16,51372076","2423,632232",-12,"-480278,2308"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20209058,41","211574,01",10098,9758,82,70,"367,7258836","357,2307692","10,49511438","4043,048616",12,"509187,0921"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"104468,77","211574,01",10490,9758,20,70,"340,1652893","357,2307692","17,06547997","847,8992643",50,"723490,3958"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","120929,7",10595,9760,82,70,"384,7726229","376,6521739","8,120448942","2230,157337",12,"217318,5454"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"10047,82","120929,7",9979,9760,36,70,"393,4375","376,6521739","16,78532609","176,8808911",-34,"-100946,1168"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"476756,5","120929,7",10436,9760,79,70,"356,2748691","376,6521739","20,3773048","180,639294",-9,"-33128,47759"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"473313,01","126744,13",10294,9763,79,30,"392,4517134","402,8740157","10,42230235","723,2521249",-49,"-369359,6638"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20209058,41","126744,13",10098,9763,82,30,"367,7258836","402,8740157","35,14813213","763,6146584",-52,"-1395660,704"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"15294311,74","17102,81",10152,9765,82,70,"360,3640605","348,4666667","11,89739381","728,2236184",12,"103967,558"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"382906,64","50290,58",10425,9767,79,70,"332,7815789","338,3125","5,530921053","1386,07958",-9,"-68996,67057"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"32070937,64","50290,58",9941,9767,82,70,"363,9671945","338,3125","25,65469452","177,8723408",12,"54759,12678"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"32070937,64","52708,6",9941,9768,82,70,"363,9671945","366,0384615","2,071267021","212,9731075",-12,"-5293,490088"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"476756,5","42522,15",10436,9770,79,70,"356,2748691","356,3333333","0,058464223","682,1326048",-9,"-358,9231745"
