"Uso_solo","Municipio","Area_m2","Fid_1","Last_last","Cn_mancha1","Cn_mancha2","Altitude_mancha1","Altitude_mancha2","Dif_altitude","Comprimento","Dif_cn","Valoracao"
"Pastagem/Campo","Alto Piquiri","13060,67","10256","10256","82","52","384,7726229","404,1785714","19,40594857","349,1620563","-30","-203274,6272"
"Agricultura Anual","Alto Piquiri","117000000","9505","10257","82","52","352,2107826","411,7378049","-59,5270223","1972,479547","-30","3522475,02"
"Pastagem/Campo","Alto Piquiri","234318,38","10257","10257","82","52","352,2107826","411,7378049","-59,5270223","1972,479547","-30","3522475,02"
"Área Urbanizada","Alto Piquiri","502008,42","10584","10257","86","52","410,1742857","411,7378049","1,563519164","1192,789163","-34","-63408,25629"
"Pastagem/Campo","Alto Piquiri","234318,38","10257","10257","86","52","410,1742857","411,7378049","1,563519164","1192,789163","-34","-63408,25629"
"Agricultura Anual","Alto Piquiri","117000000","9505","10258","82","79","352,2107826","385,775","33,56421743","2119,905603","-3","-213458,9177"
"Pastagem/Campo","Alto Piquiri","118623,51","10258","10258","82","79","352,2107826","385,775","33,56421743","2119,905603","-3","-213458,9177"
"Agricultura Anual","Alto Piquiri","117000000","9505","10259","82","79","352,2107826","352,1724138","0,038368782","10,4202755","3","1,199439837"
"Pastagem/Campo","Alto Piquiri","12483,18","10259","10259","82","79","352,2107826","352,1724138","0,038368782","10,4202755","3","1,199439837"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10259","82","79","384,7726229","352,1724138","32,60020906","391,3417803","3","38273,47156"
"Pastagem/Campo","Alto Piquiri","12483,18","10259","10259","82","79","384,7726229","352,1724138","32,60020906","391,3417803","3","38273,47156"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10259","70","79","311,048522","352,1724138","41,12389176","315,8339437","-9","-116894,8882"
"Pastagem/Campo","Alto Piquiri","12483,18","10259","10259","70","79","311,048522","352,1724138","41,12389176","315,8339437","-9","-116894,8882"
